# time    dist   theta      vl      vr 
 12.48,  0.254,  0.425,  0.781, -0.354
 12.58,  0.207,  0.261,  0.739, -0.346
 12.68,  0.193,  0.113,  0.676, -0.334
 12.79,  0.189, -0.028,  0.602, -0.309
 12.89,  0.192, -0.182,  0.520, -0.275
 13.00,  0.190, -0.340,  0.419, -0.232
 13.10,  0.181, -0.459,  0.320, -0.187
 13.21,  0.180, -0.528,  0.210, -0.128
 13.31,  0.188, -0.545,  0.129, -0.077
 13.41,  0.180, -0.550,  0.051, -0.026
 13.52,  0.180, -0.562, -0.036, -0.028
 13.62,  0.172, -0.579, -0.104,  0.017
 13.73,  0.180, -0.584, -0.169,  0.060
 13.83,  0.180, -0.584, -0.225,  0.098
 13.94,  0.204, -0.601, -0.279,  0.097
 14.04,  0.180, -0.584, -0.324,  0.131
 14.14,  0.180, -0.584, -0.360,  0.165
 14.25,  0.180, -0.584, -0.395,  0.193
 14.35,  0.180, -0.573, -0.436,  0.173
 14.47, -0.070, -0.000, -0.469,  0.155
 14.59,  0.174, -0.420, -0.494,  0.174
 14.70,  0.175, -0.261, -0.507,  0.135
 14.80,  0.178, -0.125, -0.491,  0.120
 14.91,  0.172, -0.074, -0.471,  0.096
 15.01,  0.172, -0.074, -0.453,  0.072
 15.11,  0.175, -0.099, -0.460,  0.024
 15.22,  0.165, -0.091, -0.472, -0.028
 15.32,  0.165, -0.091, -0.462, -0.042
 15.43,  0.165, -0.091, -0.452, -0.056
 15.53,  0.165, -0.091, -0.443, -0.069
 15.63,  0.165, -0.091, -0.435, -0.080
 15.74,  0.165, -0.091, -0.428, -0.091
 15.85, -0.070, -0.000, -0.442, -0.125
 15.98,  0.165, -0.091, -0.431, -0.133
 16.09,  0.112, -0.034, -0.434, -0.151
 16.19,  0.165, -0.091, -0.427, -0.155
 16.29,  0.165, -0.091, -0.443, -0.186
